is_match,tournament,round,player_1,deck_1,player_2,deck_2,playlist_id,original_title
True,YCS Bochum 2018,Round 1,Jörg Müller,Unknown,Eugen Heidt,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 1 Feature Match
True,YCS Bochum 2018,Round 2,Phillip Weldinger,Unknown,Meicel Neugebauer,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 2 Feature Match
True,YCS Bochum 2018,Round 3,Carmelo Buttiglieri,Unknown,Adam Chamberlain,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 3 Feature Match
True,YCS Bochum 2018,Round 4,Jordan Gallacher,Unknown,Steffen Friedow,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 4 Feature Match
True,YCS Bochum 2018,Round 5,Loan Cite-Mielle,Unknown,David Schmidt,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 5 Feature Match
True,YCS Bochum 2018,Round 6,Jakob Geigenberger,Unknown,Viktor Trautwein,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 6 Feature Match
True,YCS Bochum 2018,Round 7,Stefan Frankowski,Unknown,Dinh Khang Pham,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 7 Feature Match
True,YCS Bochum 2018,Round 8,Timothy Cox,Unknown,Bastien Magnee,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 8 Feature Match
True,YCS Bochum 2018,Round 10,Markus Schmidt,Unknown,Estanita Martina,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 10 Feature Match
True,YCS Bochum 2018,Round 9,Tomas Tuvillo,Unknown,Georgior Kotogluo,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 9 Feature Match
True,YCS Bochum 2018,Round 11,Adrian Labrador Fonolossa,Unknown,Ryan Jacobs,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Round 11 Feature Match
True,YCS Bochum 2018,Top 32,Niklas Krebs,Unknown,Pietro Fiorito,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Top 32 Feature Match
True,YCS Bochum 2018,Top 16,Dinh Khang Pham,Unknown,Maximilian Kießling,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Top 16 Feature Match
True,YCS Bochum 2018,Top 8,Oliver Vera Delgado,Unknown,Tayfun Bayraktar,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: First Top 8 Feature Match
True,YCS Bochum 2018,Top 8,Evaggelos Argyris,Unknown,Maximilian Kießling,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Second Top 8 Feature Match
True,YCS Bochum 2018,Top 4,Marco Perico,Unknown,Tayfun Bayraktar,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Top 4 Feature Match
True,YCS Bochum 2018,Final,Markus Burtchen,Unknown,Marco Perico,Unknown,PLIm0Rt8gzRbv3fIxWySnaolII9TXeBGDl,YCS Bochum 2018: Final
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 1
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 3
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 2
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 4
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 6
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 7
True,YCS Milan 2018,Round 10,Unknown,Unknown,Unknown,Unknown,PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018: Round 10 - Yu-Gi-Oh! Games - Part 5
